"round","actual"
"1999Q3",0.031
"1999Q4",0.039
"2000Q1",0.042
"2000Q2",0.046
"2000Q3",0.04
"2000Q4",0.034
"2001Q1",0.032
"2001Q2",0.023
"2001Q3",0.018
"2001Q4",0.013
"2002Q1",0.004
"2002Q2",0.008
"2002Q3",0.011
"2002Q4",0.013
"2003Q1",0.008
"2003Q2",0.004
"2003Q3",0.006
"2003Q4",0.011
"2004Q1",0.019
"2004Q2",0.025
"2004Q3",0.02
"2004Q4",0.018
"2005Q1",0.016
"2005Q2",0.016
"2005Q3",0.021
"2005Q4",0.023
"2006Q1",0.03
"2006Q2",0.035
"2006Q3",0.033
"2006Q4",0.038
"2007Q1",0.036
"2007Q2",0.031
"2007Q3",0.03
"2007Q4",0.023
"2008Q1",0.022
"2008Q2",0.01
"2008Q3",0.001
"2008Q4",-0.021
"2009Q1",-0.057
"2009Q2",-0.053
"2009Q3",-0.044
"2009Q4",-0.023
"2010Q1",0.012
"2010Q2",0.021
"2010Q3",0.022
"2010Q4",0.024
"2011Q1",0.03
"2011Q2",0.02
"2011Q3",0.016
"2011Q4",0.007
"2012Q1",-0.005
"2012Q2",-0.009
"2012Q3",-0.01
"2012Q4",-0.012
"2013Q1",-0.012
"2013Q2",-0.002
"2013Q3",0.002
"2013Q4",0.008
"2014Q1",0.016
"2014Q2",0.012
"2014Q3",0.014
"2014Q4",0.016
"2015Q1",0.019
"2015Q2",0.021
"2015Q3",0.02
"2015Q4",0.021
"2016Q1",0.018
"2016Q2",0.016
"2016Q3",0.017
"2016Q4",0.019
"2017Q1",0.023
"2017Q2",0.028
"2017Q3",0.03
"2017Q4",0.031
"2018Q1",0.023
"2018Q2",0.021
"2018Q3",0.015
"2018Q4",0.012
"2019Q1",0.019
"2019Q2",0.017
"2019Q3",0.018
"2019Q4",0.012
"2020Q1",-0.028
"2020Q2",-0.139
"2020Q3",-0.042
"2020Q4",-0.037
"2021Q1",0.003
"2021Q2",0.153
"2021Q3",0.052
"2021Q4",0.056
"2022Q1",0.056
"2022Q2",0.043
"2022Q3",0.03
"2022Q4",0.021
"2023Q1",0.013
"2023Q2",0.006
"2023Q3",0.002
"2023Q4",0.003
"2024Q1",0.006
"2024Q2",0.006
"2024Q3",0.011
"2024Q4",0.014
"2025Q1",0.017
"2025Q2",0.016
"2025Q3",0.014
"2025Q4",0.012
"2026Q1",0.003
