"p","bias_tau","Method","Metric","Median","Q25","Q75"
5,0,"Sample Cov. Inverse","mse",0.0108300227479166,0.00541641240910841,0.0158255892739612
5,0,"Sample Cov. Inverse","log_score",-1.12262319999261,-1.62575509710548,-0.66032257972242
5,0,"Inverse-Wishart","mse",0.0169533229538652,0.0115787665491246,0.021552838826866
5,0,"Inverse-Wishart","log_score",-1.13332887433227,-1.6520439099768,-0.649110508730031
5,0,"Bayesian GL","mse",0.0116459422290336,0.00793103399611683,0.014770963175955
5,0,"Bayesian GL","log_score",-0.967168693528094,-1.67152217065683,-0.587829886293034
5,0,"Adaptive Bayesian GL","mse",0.00631569421475473,0.00444518489212744,0.00875058894348101
5,0,"Adaptive Bayesian GL","log_score",-1.03238397185965,-1.95084916094695,-0.514209529564074
5,0,"Bayesian FGL","mse",0.014371170706972,0.0111540956004996,0.0187783076104551
5,0,"Bayesian FGL","log_score",-1.07422955525283,-1.64351506265767,-0.631839296748046
10,0,"Sample Cov. Inverse","mse",0.0120365850625519,0.0082694389770799,0.016196985160915
10,0,"Sample Cov. Inverse","log_score",-0.629493940293236,-0.917776286070451,-0.380972578450459
10,0,"Inverse-Wishart","mse",0.0216779666054507,0.0176291926515549,0.025671607549871
10,0,"Inverse-Wishart","log_score",-0.61219599425907,-0.942621691397305,-0.355689805790328
10,0,"Bayesian GL","mse",0.016493084053213,0.0137842459277132,0.0194012438845734
10,0,"Bayesian GL","log_score",-0.506536647241793,-1.01636709770417,-0.454535132157114
10,0,"Adaptive Bayesian GL","mse",0.00951010378943733,0.00743093438656843,0.0121693045522386
10,0,"Adaptive Bayesian GL","log_score",-0.565780974800811,-0.972705414769823,-0.360393908124823
10,0,"Bayesian FGL","mse",0.0168758766313854,0.0154946544617861,0.0216555688704847
10,0,"Bayesian FGL","log_score",-0.612149145473961,-0.98654904161821,-0.370870860274807
20,0,"Sample Cov. Inverse","mse",0.0193057031514933,0.015837691888913,0.0228607368693748
20,0,"Sample Cov. Inverse","log_score",-1.12914818323948,-1.86346874461316,-0.39092249549242
20,0,"Inverse-Wishart","mse",0.028133081291858,0.024203573951317,0.0306960767202938
20,0,"Inverse-Wishart","log_score",-1.07291872376809,-1.89838645443362,-0.419847628895029
20,0,"Bayesian GL","mse",0.0185861942963654,0.0165354952316999,0.0211132749422049
20,0,"Bayesian GL","log_score",-0.951019238816714,-1.56759344824261,-0.409268535019474
20,0,"Adaptive Bayesian GL","mse",0.0125140109820429,0.0107705514349053,0.0151422960739653
20,0,"Adaptive Bayesian GL","log_score",-0.925275283600351,-1.73586586502888,-0.489845370415435
20,0,"Bayesian FGL","mse",0.0174569824358973,0.0165123489518586,0.0213393009774638
20,0,"Bayesian FGL","log_score",-1.02159393245502,-1.6447211573853,-0.374286751402674
30,0,"Sample Cov. Inverse","mse",0.0222810073620878,0.0175360920277014,0.0320860002180757
30,0,"Sample Cov. Inverse","log_score",-0.806614275393665,-1.41389291784524,-0.305757420054481
30,0,"Inverse-Wishart","mse",0.0296402659542056,0.0254028055266728,0.0390919663690954
30,0,"Inverse-Wishart","log_score",-0.749269015077672,-1.47719862700086,-0.358567859472904
30,0,"Bayesian GL","mse",0.0150278082677116,0.0142077823412089,0.0175381517742228
30,0,"Bayesian GL","log_score",-0.877167073086043,-1.17881576917928,-0.425880289744866
30,0,"Adaptive Bayesian GL","mse",0.0127919534432164,0.0109946881842745,0.0144392226416439
30,0,"Adaptive Bayesian GL","log_score",-0.723090474070635,-1.33348010089921,-0.41101952832249
30,0,"Bayesian FGL","mse",0.0153509936925394,0.0138936320900226,0.0185823640630522
30,0,"Bayesian FGL","log_score",-0.792201639762155,-1.2504690917578,-0.418534710296665
50,0,"Sample Cov. Inverse","mse",0.0316362499356749,0.0258929515087419,0.0349842229891215
50,0,"Sample Cov. Inverse","log_score",-1.71629035905407,-3.71638340730352,-0.30465816602266
50,0,"Inverse-Wishart","mse",0.0314384018682474,0.0278559764644463,0.0353079637825153
50,0,"Inverse-Wishart","log_score",-1.10670401536563,-2.36896041707772,-0.331572512382351
50,0,"Bayesian GL","mse",0.00981718124188988,0.00925987884823038,0.0111126446940737
50,0,"Bayesian GL","log_score",-0.538491579223876,-1.2702971636089,-0.25986251735749
50,0,"Adaptive Bayesian GL","mse",0.00855331087343989,0.0081193031305754,0.00991312271626845
50,0,"Adaptive Bayesian GL","log_score",-0.445202694815049,-0.907641105225961,-0.236367192170107
50,0,"Bayesian FGL","mse",0.0101835639356177,0.00979520955364054,0.0116644606355978
50,0,"Bayesian FGL","log_score",-0.531357427748268,-1.32932190237204,-0.270422445430978
5,0.2,"Sample Cov. Inverse","mse",0.0108300227479166,0.00541641240910841,0.0158255892739612
5,0.2,"Sample Cov. Inverse","log_score",-1.01903206452338,-1.85774642886831,-0.781746261696219
5,0.2,"Inverse-Wishart","mse",0.0147810700188711,0.0119371656762871,0.0209116030057341
5,0.2,"Inverse-Wishart","log_score",-1.0460870620979,-1.70492195177652,-0.652604863056743
5,0.2,"Bayesian GL","mse",0.0101355386521165,0.00915674517902751,0.0121273377791684
5,0.2,"Bayesian GL","log_score",-0.918617798730518,-1.71879198444485,-0.639341727301264
5,0.2,"Adaptive Bayesian GL","mse",0.00612804492527369,0.00455149096727107,0.00775944039078466
5,0.2,"Adaptive Bayesian GL","log_score",-0.969810280223897,-2.06619891332604,-0.61073877012255
5,0.2,"Bayesian FGL","mse",0.0124395563830322,0.011452858640509,0.0177732910111457
5,0.2,"Bayesian FGL","log_score",-1.02199059947203,-1.71408758647186,-0.644438808154988
10,0.2,"Sample Cov. Inverse","mse",0.0120365850625519,0.00826943897707988,0.016196985160915
10,0.2,"Sample Cov. Inverse","log_score",-0.574545867812634,-0.867513996740033,-0.379801789848079
10,0.2,"Inverse-Wishart","mse",0.0190940879938894,0.0171923492458327,0.0240173056804635
10,0.2,"Inverse-Wishart","log_score",-0.559589577327197,-1.058752180311,-0.365142135628235
10,0.2,"Bayesian GL","mse",0.0156525637935657,0.0127542481460868,0.0169606724438849
10,0.2,"Bayesian GL","log_score",-0.542317222341901,-1.09951049510955,-0.445314354518185
10,0.2,"Adaptive Bayesian GL","mse",0.00944693673570893,0.00791936934340703,0.0110149781645419
10,0.2,"Adaptive Bayesian GL","log_score",-0.531242351628335,-1.03367156299189,-0.366591011619682
10,0.2,"Bayesian FGL","mse",0.0160737917911164,0.0140192393807564,0.0190761411974163
10,0.2,"Bayesian FGL","log_score",-0.552814405635506,-1.07577603834076,-0.369555610875512
20,0.2,"Sample Cov. Inverse","mse",0.0193057031514933,0.0158376918889131,0.0228607368693748
20,0.2,"Sample Cov. Inverse","log_score",-1.1833593765993,-2.16311578005973,-0.409561100674394
20,0.2,"Inverse-Wishart","mse",0.0269604177951107,0.0227942137182961,0.0307440435981775
20,0.2,"Inverse-Wishart","log_score",-0.900218252114256,-1.90812393064765,-0.461573751779557
20,0.2,"Bayesian GL","mse",0.0174042656537734,0.0151001549086572,0.0205692442239327
20,0.2,"Bayesian GL","log_score",-0.892700714760779,-1.5081120279322,-0.428793450287218
20,0.2,"Adaptive Bayesian GL","mse",0.0116734333263546,0.0107305052721065,0.014859858552286
20,0.2,"Adaptive Bayesian GL","log_score",-0.812353214659796,-1.6905945815228,-0.453514916653285
20,0.2,"Bayesian FGL","mse",0.0169197194248458,0.015574822637654,0.0202372728763174
20,0.2,"Bayesian FGL","log_score",-0.872871575760707,-1.66154433956164,-0.435923914995629
30,0.2,"Sample Cov. Inverse","mse",0.0222810073620878,0.0175360920277014,0.0320860002180756
30,0.2,"Sample Cov. Inverse","log_score",-0.601298940501194,-1.33943409051079,-0.417257655717082
30,0.2,"Inverse-Wishart","mse",0.029069086605658,0.0248205472130713,0.0377386160826997
30,0.2,"Inverse-Wishart","log_score",-0.836090540939781,-1.39048419612338,-0.430792826207613
30,0.2,"Bayesian GL","mse",0.0148759613049753,0.0135210456162537,0.0162578794721038
30,0.2,"Bayesian GL","log_score",-0.853787664804031,-1.18636724383028,-0.40477158605582
30,0.2,"Adaptive Bayesian GL","mse",0.0123797523588805,0.0113124411098506,0.0142057874220163
30,0.2,"Adaptive Bayesian GL","log_score",-0.690922802569445,-1.24103720069825,-0.420174420814282
30,0.2,"Bayesian FGL","mse",0.0152031750116486,0.0142509021535459,0.0177571848114882
