"p","K","rho_across","Method","Metric","Median","Q25","Q75"
5,2,0,"Sample Cov. Inverse","mse",0.0094060752163668,0.00444803252178441,0.0179641565803612
5,2,0,"Sample Cov. Inverse","log_score",-0.708949483282268,-1.01408085054305,-0.596764015344974
5,2,0,"Inverse-Wishart","mse",0.0207388628525549,0.0155614828892002,0.0279162864013024
5,2,0,"Inverse-Wishart","log_score",-0.705674927602695,-1.01382323211017,-0.581392888657848
5,2,0,"Bayesian GL","mse",0.0177793218575403,0.0135182480260284,0.0242319268184991
5,2,0,"Bayesian GL","log_score",-0.704548968231034,-0.971802513984654,-0.647751964494282
5,2,0,"Adaptive Bayesian GL","mse",0.0117611830272356,0.00903039020613869,0.0151504857542058
5,2,0,"Adaptive Bayesian GL","log_score",-0.670167612522581,-1.03164847675525,-0.561709601417585
5,2,0,"Bayesian FGL","mse",0.0202347379270909,0.015204426997738,0.026878009489866
5,2,0,"Bayesian FGL","log_score",-0.692632549497791,-1.02358847754215,-0.582748836511711
10,2,0,"Sample Cov. Inverse","mse",0.0182629090426517,0.00667711618207844,0.0222460403704895
10,2,0,"Sample Cov. Inverse","log_score",-0.709575864635326,-1.09431259528351,-0.574858135680062
10,2,0,"Inverse-Wishart","mse",0.0307829791281799,0.021728405322882,0.0330495716957521
10,2,0,"Inverse-Wishart","log_score",-0.736165935639565,-1.14665235791842,-0.555132382721793
10,2,0,"Bayesian GL","mse",0.0208635376860263,0.0170728400547102,0.0276010258117668
10,2,0,"Bayesian GL","log_score",-0.825810504345697,-1.1952508211547,-0.483435106199578
10,2,0,"Adaptive Bayesian GL","mse",0.0163099664059083,0.0125597368765801,0.0208209466849947
10,2,0,"Adaptive Bayesian GL","log_score",-0.683585291810948,-1.31211944827567,-0.552519387091397
10,2,0,"Bayesian FGL","mse",0.0250789188206623,0.0183494258261474,0.0298406626305063
10,2,0,"Bayesian FGL","log_score",-0.735677682739566,-1.16330364917558,-0.562384557943833
20,2,0,"Sample Cov. Inverse","mse",0.0245643665613412,0.0206411552382041,0.0284573664091802
20,2,0,"Sample Cov. Inverse","log_score",-0.787743083223802,-1.22337363972562,-0.449961385299563
20,2,0,"Inverse-Wishart","mse",0.0349471235768016,0.031908757003928,0.0409988228968439
20,2,0,"Inverse-Wishart","log_score",-0.787933760568996,-1.22101135889353,-0.454403366634765
20,2,0,"Bayesian GL","mse",0.0230589783604475,0.0211190992246168,0.0244515418796284
20,2,0,"Bayesian GL","log_score",-0.749759247917964,-1.07929321469338,-0.506434720015599
20,2,0,"Adaptive Bayesian GL","mse",0.0192742003737791,0.0174464443104144,0.020459422412241
20,2,0,"Adaptive Bayesian GL","log_score",-0.673432419192764,-1.2094769014159,-0.506096297765662
20,2,0,"Bayesian FGL","mse",0.0239841625651694,0.0217689270918517,0.0267023926316429
20,2,0,"Bayesian FGL","log_score",-0.687492138917077,-1.09815757712203,-0.489823015344899
30,2,0,"Sample Cov. Inverse","mse",0.0284420375310219,0.0231906435104286,0.0306588609909944
30,2,0,"Sample Cov. Inverse","log_score",-0.71101968860958,-1.53105280479551,-0.459287855146292
